lambda1,lambda2,lambda3,mu,val_post_avg,val_pre_avg,best_epoch,epochs_ran,runtime,combo_dir
0.1,0.0,1.0,0.3,0.02250281483044519,0.0018346453811425496,1,6,42.63284206390381,outputs/grid_l1=0.1_l2=0.0_l3=1.0_mu=0.3
0.1,0.0,1.0,0.5,0.022646085140021407,0.0005016676312901408,1,6,42.477181911468506,outputs/grid_l1=0.1_l2=0.0_l3=1.0_mu=0.5
0.1,0.0,1.0,0.7,0.022708872004466897,0.00010736688465626417,1,6,42.15318703651428,outputs/grid_l1=0.1_l2=0.0_l3=1.0_mu=0.7
0.1,0.0,2.0,0.3,0.0220193080330158,0.003296634305597228,1,6,42.25455093383789,outputs/grid_l1=0.1_l2=0.0_l3=2.0_mu=0.3
0.1,0.0,2.0,0.5,0.0219072763917639,0.0010123635447063647,1,6,42.93884587287903,outputs/grid_l1=0.1_l2=0.0_l3=2.0_mu=0.5
0.1,0.0,2.0,0.7,0.021757493261247873,0.00022141177375006546,1,6,42.599591970443726,outputs/grid_l1=0.1_l2=0.0_l3=2.0_mu=0.7
0.1,0.0,3.0,0.3,0.022122047019793707,0.003515084890429588,2,7,49.602778911590576,outputs/grid_l1=0.1_l2=0.0_l3=3.0_mu=0.3
0.1,0.0,3.0,0.5,0.022715868318782133,0.0013415593112928465,1,6,42.70514392852783,outputs/grid_l1=0.1_l2=0.0_l3=3.0_mu=0.5
0.1,0.0,3.0,0.7,0.022616500308846727,0.0004211707504616831,1,6,42.30483603477478,outputs/grid_l1=0.1_l2=0.0_l3=3.0_mu=0.7
0.2,0.0,1.0,0.3,0.022179882809081498,0.0016499975429135649,1,6,42.31844186782837,outputs/grid_l1=0.2_l2=0.0_l3=1.0_mu=0.3
0.2,0.0,1.0,0.5,0.02230884614126647,0.00040236265511553297,1,6,42.37580418586731,outputs/grid_l1=0.2_l2=0.0_l3=1.0_mu=0.5
0.2,0.0,1.0,0.7,0.02221314735053217,0.00020604275521370307,1,6,42.83211803436279,outputs/grid_l1=0.2_l2=0.0_l3=1.0_mu=0.7
0.2,0.0,2.0,0.3,0.021836742320481467,0.002866251698886866,1,6,42.33746099472046,outputs/grid_l1=0.2_l2=0.0_l3=2.0_mu=0.3
0.2,0.0,2.0,0.5,0.021870075752410817,0.0009004310276770197,1,6,42.43927884101868,outputs/grid_l1=0.2_l2=0.0_l3=2.0_mu=0.5
0.2,0.0,2.0,0.7,0.021810860290904257,0.0002595776420682395,1,6,310.2160801887512,outputs/grid_l1=0.2_l2=0.0_l3=2.0_mu=0.7
0.2,0.0,3.0,0.3,0.022085303906351328,0.0029561608851722933,2,7,48.73836588859558,outputs/grid_l1=0.2_l2=0.0_l3=3.0_mu=0.3
0.2,0.0,3.0,0.5,0.022829098544795725,0.001117618307676714,1,6,42.51949501037598,outputs/grid_l1=0.2_l2=0.0_l3=3.0_mu=0.5
0.2,0.0,3.0,0.7,0.02303563228205723,0.0004258509887971313,1,6,43.013994216918945,outputs/grid_l1=0.2_l2=0.0_l3=3.0_mu=0.7
0.5,0.0,1.0,0.3,0.021614405162194195,0.0008553826431606841,1,6,43.474615812301636,outputs/grid_l1=0.5_l2=0.0_l3=1.0_mu=0.3
0.5,0.0,1.0,0.5,0.021573648048455223,0.00023115780855090742,1,6,44.06057095527649,outputs/grid_l1=0.5_l2=0.0_l3=1.0_mu=0.5
0.5,0.0,1.0,0.7,0.021607564543099964,0.0001329617296184605,1,6,44.57593870162964,outputs/grid_l1=0.5_l2=0.0_l3=1.0_mu=0.7
0.5,0.0,2.0,0.3,0.02190991658169557,0.0017179614069926389,2,7,50.95868706703186,outputs/grid_l1=0.5_l2=0.0_l3=2.0_mu=0.3
0.5,0.0,2.0,0.5,0.021947383195819223,0.0005294973456971895,1,6,43.57214283943176,outputs/grid_l1=0.5_l2=0.0_l3=2.0_mu=0.5
0.5,0.0,2.0,0.7,0.02201237781521152,0.0001783363866921076,1,6,43.66041588783264,outputs/grid_l1=0.5_l2=0.0_l3=2.0_mu=0.7
0.5,0.0,3.0,0.3,0.02184805572580765,0.0019358256386647768,2,7,50.88972282409668,outputs/grid_l1=0.5_l2=0.0_l3=3.0_mu=0.3
0.5,0.0,3.0,0.5,0.022487853434594238,0.0008008340322275591,2,7,50.725412130355835,outputs/grid_l1=0.5_l2=0.0_l3=3.0_mu=0.5
0.5,0.0,3.0,0.7,0.022349082015673902,0.0002762579478097477,2,7,51.418522119522095,outputs/grid_l1=0.5_l2=0.0_l3=3.0_mu=0.7
